timestamp_ms,tau_cmd_Nm,pos_rad,vel_rad_s,tau_feedback_Nm,Tmos_C,Tcoil_C,label
0,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
5,0.00000,-0.11502,-0.00733,0.00244,32.00000,30.00000,tau_0
10,0.00000,-0.11502,-0.00733,-0.00244,32.00000,30.00000,tau_0
15,0.00000,-0.11502,-0.00733,-0.00244,32.00000,30.00000,tau_0
20,0.00000,-0.11502,-0.00733,-0.00244,32.00000,30.00000,tau_0
25,0.00000,-0.11502,-0.00733,-0.00244,32.00000,30.00000,tau_0
30,0.00000,-0.11502,-0.00733,-0.00244,32.00000,30.00000,tau_0
35,0.00000,-0.11502,-0.00733,-0.00244,32.00000,30.00000,tau_0
40,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
45,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
50,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
55,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
60,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
65,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
70,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
75,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
80,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
85,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
91,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
96,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
101,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
106,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
111,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
116,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
121,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
126,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
131,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
136,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
141,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
146,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
151,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
156,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
161,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
166,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
171,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
176,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
182,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
187,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
192,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
197,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
202,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
207,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
212,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
217,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
222,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
227,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
232,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
237,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
242,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
247,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
252,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
257,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
262,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
267,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
272,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
278,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
283,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
288,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
293,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
298,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
303,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
308,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
313,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
318,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
323,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
328,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
333,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
338,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
343,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
348,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
353,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
358,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
363,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
369,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
374,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
379,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
384,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
389,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
394,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
399,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
404,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
409,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
414,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
419,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
424,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
429,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
434,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
439,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
444,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
449,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
454,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
459,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
465,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
470,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
475,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
480,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
485,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
490,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
495,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
500,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
505,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
510,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
515,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
520,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
525,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
530,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
535,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
540,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
545,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
550,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
555,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
561,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
566,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
571,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
576,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
581,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
586,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
591,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
596,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
601,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
606,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
611,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
616,0.00000,-0.11502,-0.00733,-0.01221,32.00000,30.00000,tau_0
621,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
626,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
631,0.00000,-0.11502,-0.00733,-0.00733,32.00000,30.00000,tau_0
