timestamp_ms,tau_cmd_Nm,pos_rad,vel_rad_s,tau_feedback_Nm,Tmos_C,Tcoil_C,label
0,0.00000,2.59728,-0.00733,-0.00733,33.00000,31.00000,pos_a_fwd
5,0.00000,2.59728,-0.00733,-0.00244,33.00000,31.00000,pos_a_fwd
10,0.00000,2.59728,-0.00733,-0.00244,33.00000,31.00000,pos_a_fwd
15,0.00000,2.59728,-0.00733,-0.00244,33.00000,31.00000,pos_a_fwd
20,0.00000,2.59728,-0.00733,-0.00244,33.00000,31.00000,pos_a_fwd
25,0.00000,2.59728,-0.00733,-0.00733,33.00000,31.00000,pos_a_fwd
30,0.00000,2.59728,-0.00733,-0.00733,33.00000,31.00000,pos_a_fwd
35,0.00000,2.56981,-11.28938,-3.31380,33.00000,31.00000,pos_a_fwd
40,0.00000,2.47711,-21.25275,-2.69353,33.00000,31.00000,pos_a_fwd
45,0.00000,2.36343,-23.37729,-1.43834,33.00000,31.00000,pos_a_fwd
50,0.00000,2.24556,-23.91941,-0.94506,33.00000,31.00000,pos_a_fwd
55,0.00000,2.12692,-23.43590,-0.53968,33.00000,31.00000,pos_a_fwd
60,0.00000,2.00904,-22.98169,-0.38339,33.00000,31.00000,pos_a_fwd
65,0.00000,1.89422,-22.93773,-0.35897,33.00000,31.00000,pos_a_fwd
70,0.00000,1.77939,-22.51282,-0.17338,33.00000,31.00000,pos_a_fwd
75,0.00000,1.66419,-22.52747,-0.19292,33.00000,31.00000,pos_a_fwd
80,0.00000,1.54898,-22.63004,-0.26129,33.00000,31.00000,pos_a_fwd
86,0.00000,1.43645,-22.46886,-0.24664,33.00000,31.00000,pos_a_fwd
91,0.00000,1.32200,-22.67399,-0.30525,33.00000,31.00000,pos_a_fwd
96,0.00000,1.20794,-22.58608,-0.30037,33.00000,31.00000,pos_a_fwd
101,0.00000,1.09312,-22.45421,-0.27106,33.00000,31.00000,pos_a_fwd
106,0.00000,0.98058,-22.60073,-0.33944,33.00000,31.00000,pos_a_fwd
111,0.00000,0.86538,-22.54213,-0.27106,33.00000,31.00000,pos_a_fwd
116,0.00000,0.75132,-22.60073,-0.26129,33.00000,31.00000,pos_a_fwd
121,0.00000,0.63687,-22.73260,-0.17338,33.00000,31.00000,pos_a_fwd
126,0.00000,0.52167,-22.48352,-0.14408,33.00000,31.00000,pos_a_fwd
131,0.00000,0.40875,-22.60073,-0.21245,33.00000,31.00000,pos_a_fwd
136,0.00000,0.29316,-22.70330,-0.26129,33.00000,31.00000,pos_a_fwd
141,0.00000,0.18025,-22.55678,-0.23199,33.00000,31.00000,pos_a_fwd
146,0.00000,0.06466,-22.70330,-0.30037,33.00000,31.00000,pos_a_fwd
151,0.00000,-0.04978,-22.68864,-0.30037,33.00000,31.00000,pos_a_fwd
156,0.00000,-0.16384,-22.49817,-0.25641,33.00000,31.00000,pos_a_fwd
161,0.00000,-0.27791,-22.68864,-0.19292,33.00000,31.00000,pos_a_fwd
166,0.00000,-0.39235,-22.61539,-0.17338,33.00000,31.00000,pos_a_fwd
171,0.00000,-0.50641,-22.63004,-0.21734,33.00000,31.00000,pos_a_fwd
177,0.00000,-0.62047,-22.70330,-0.28083,33.00000,31.00000,pos_a_fwd
182,0.00000,-0.73606,-22.51282,-0.25641,33.00000,31.00000,pos_a_fwd
187,0.00000,-0.85012,-22.68864,-0.30525,33.00000,31.00000,pos_a_fwd
192,0.00000,-0.96456,-22.73260,-0.31013,33.00000,31.00000,pos_a_fwd
197,0.00000,-1.07900,-22.55678,-0.22711,33.00000,31.00000,pos_a_fwd
202,0.00000,-1.19345,-22.71795,-0.14896,33.00000,31.00000,pos_a_fwd
207,0.00000,-1.30789,-22.65934,-0.12454,33.00000,31.00000,pos_a_fwd
212,0.00000,-1.42195,-22.57143,-0.16361,33.00000,31.00000,pos_a_fwd
217,0.00000,-1.53754,-22.73260,-0.24176,33.00000,31.00000,pos_a_fwd
222,0.00000,-1.65084,-22.63004,-0.22222,33.00000,31.00000,pos_a_fwd
227,0.00000,-1.76490,-22.61539,-0.27106,33.00000,31.00000,pos_a_fwd
232,0.00000,-1.88048,-22.74725,-0.25153,33.00000,31.00000,pos_a_fwd
