timestamp_ms,tau_cmd_Nm,pos_rad,vel_rad_s,tau_feedback_Nm,Tmos_C,Tcoil_C,label
0,1.00000,3.41630,-0.00733,-0.00244,32.00000,30.00000,manual
5,1.00000,3.41630,-0.00733,-0.00244,32.00000,30.00000,manual
10,1.00000,3.41630,-0.00733,-0.00244,32.00000,30.00000,manual
15,1.00000,3.41630,-0.00733,-0.00244,32.00000,30.00000,manual
20,1.00000,3.41630,-0.00733,-0.00244,32.00000,30.00000,manual
25,1.00000,3.41630,-0.00733,-0.00244,32.00000,30.00000,manual
30,1.00000,3.41630,-0.00733,-0.00244,32.00000,30.00000,manual
35,1.00000,3.41745,0.47619,0.18804,32.00000,30.00000,manual
40,1.00000,3.42126,1.10623,0.27595,32.00000,30.00000,manual
45,1.00000,3.42775,1.47253,0.24176,32.00000,30.00000,manual
50,1.00000,3.43538,1.57509,0.20269,32.00000,30.00000,manual
55,1.00000,3.44377,1.64835,0.17338,32.00000,30.00000,manual
60,1.00000,3.45293,1.76557,0.13431,32.00000,30.00000,manual
65,1.00000,3.46208,1.82418,0.11477,32.00000,30.00000,manual
70,1.00000,3.47086,1.76557,0.11966,32.00000,30.00000,manual
75,1.00000,3.47963,1.69231,0.12454,32.00000,30.00000,manual
80,1.00000,3.48840,1.72161,0.11966,32.00000,30.00000,manual
85,1.00000,3.49718,1.75092,0.11477,32.00000,30.00000,manual
91,1.00000,3.50595,1.76557,0.11477,33.00000,30.00000,manual
96,1.00000,3.51549,1.83883,0.10012,32.00000,30.00000,manual
101,1.00000,3.52426,1.70696,0.11477,32.00000,30.00000,manual
106,1.00000,3.53304,1.70696,0.10989,32.00000,30.00000,manual
111,1.00000,3.54181,1.79487,0.10501,32.00000,30.00000,manual
116,1.00000,3.55058,1.70696,0.11966,32.00000,30.00000,manual
121,1.00000,3.55974,1.78022,0.11477,32.00000,30.00000,manual
126,1.00000,3.56851,1.79487,0.10501,32.00000,30.00000,manual
131,1.00000,3.57729,1.69231,0.10989,32.00000,30.00000,manual
136,1.00000,3.58644,1.80952,0.10501,32.00000,30.00000,manual
141,1.00000,3.59560,1.78022,0.10989,32.00000,30.00000,manual
146,1.00000,3.60399,1.69231,0.12943,32.00000,30.00000,manual
151,1.00000,3.61315,1.76557,0.12454,32.00000,30.00000,manual
156,1.00000,3.62192,1.75092,0.10501,32.00000,30.00000,manual
161,1.00000,3.63107,1.76557,0.10012,32.00000,30.00000,manual
166,1.00000,3.64023,1.82418,0.09524,32.00000,30.00000,manual
171,1.00000,3.64939,1.79487,0.10012,32.00000,30.00000,manual
177,1.00000,3.65816,1.69231,0.11966,33.00000,30.00000,manual
182,1.00000,3.66693,1.75092,0.10989,32.00000,30.00000,manual
187,1.00000,3.67609,1.80952,0.10989,32.00000,30.00000,manual
192,1.00000,3.68486,1.76557,0.10989,32.00000,30.00000,manual
197,1.00000,3.69440,1.83883,0.10012,32.00000,30.00000,manual
202,1.00000,3.70317,1.75092,0.10989,32.00000,30.00000,manual
207,1.00000,3.71157,1.66301,0.11477,32.00000,30.00000,manual
212,1.00000,3.72072,1.82418,0.10501,32.00000,30.00000,manual
217,1.00000,3.72988,1.78022,0.10989,32.00000,30.00000,manual
222,1.00000,3.73903,1.75092,0.10989,32.00000,30.00000,manual
227,1.00000,3.74781,1.82418,0.10989,32.00000,30.00000,manual
232,1.00000,3.75658,1.72161,0.10501,32.00000,30.00000,manual
237,1.00000,3.76574,1.75092,0.10012,32.00000,30.00000,manual
242,1.00000,3.77489,1.80952,0.10501,32.00000,30.00000,manual
247,1.00000,3.78366,1.76557,0.10989,32.00000,30.00000,manual
252,1.00000,3.79244,1.73627,0.11477,32.00000,30.00000,manual
257,1.00000,3.80159,1.76557,0.10501,32.00000,30.00000,manual
263,1.00000,3.81037,1.76557,0.10012,32.00000,30.00000,manual
268,1.00000,3.81952,1.76557,0.10501,32.00000,30.00000,manual
273,1.00000,3.82868,1.80952,0.10501,32.00000,30.00000,manual
278,1.00000,3.83745,1.70696,0.11477,32.00000,30.00000,manual
283,1.00000,3.84623,1.72161,0.10989,32.00000,30.00000,manual
288,1.00000,3.85538,1.82418,0.10012,32.00000,30.00000,manual
293,1.00000,3.86416,1.75092,0.10989,32.00000,30.00000,manual
298,1.00000,3.87331,1.79487,0.10501,32.00000,30.00000,manual
303,1.00000,3.88247,1.79487,0.10012,32.00000,30.00000,manual
308,1.00000,3.89124,1.67766,0.10989,32.00000,30.00000,manual
313,1.00000,3.90040,1.79487,0.10012,32.00000,30.00000,manual
318,1.00000,3.90955,1.80952,0.10012,32.00000,30.00000,manual
323,1.00000,3.91833,1.73627,0.11477,32.00000,30.00000,manual
328,1.00000,3.92748,1.78022,0.10501,32.00000,30.00000,manual
333,1.00000,3.93625,1.75092,0.10501,32.00000,30.00000,manual
338,1.00000,3.94503,1.73627,0.10989,32.00000,30.00000,manual
343,1.00000,3.95418,1.79487,0.10501,32.00000,30.00000,manual
