timestamp_ms,kp,kd,q_des_rad,q_actual_rad,vel_rad_s,tau_feedback_Nm,tau_cmd_Nm,label
0,20.0000,0.5000,0.0063,0.0063,-0.0073,-0.1490,0.0000,kd5
5,20.0000,0.5000,0.0063,0.0063,-0.0073,-0.1490,0.0000,kd5
10,20.0000,0.5000,0.0063,0.0063,-0.0073,-0.1490,0.0000,kd5
15,20.0000,0.5000,0.0063,0.0063,-0.0073,-0.1538,0.0000,kd5
20,20.0000,0.5000,0.0063,0.0063,-0.0073,-0.1490,0.0000,kd5
25,20.0000,0.5000,0.0063,0.0063,-0.0073,-0.1490,0.0000,kd5
30,20.0000,0.5000,0.0063,0.0063,-0.0073,-0.1490,0.0000,kd5
35,20.0000,0.5000,0.0063,0.0063,0.0220,-0.1245,0.0000,kd5
40,20.0000,0.5000,0.0063,0.0067,0.0659,-0.0952,0.0000,kd5
45,20.0000,0.5000,0.0063,0.0067,0.0220,-0.0659,0.0000,kd5
50,20.0000,0.5000,0.0063,0.0067,0.0073,-0.0562,0.0000,kd5
55,20.0000,0.5000,0.0063,0.0067,0.0220,-0.0464,0.0000,kd5
60,20.0000,0.5000,0.0063,0.0067,0.0073,-0.0415,0.0000,kd5
65,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0317,0.0000,kd5
70,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0269,0.0000,kd5
75,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0269,0.0000,kd5
80,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
85,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
91,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
96,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
101,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
106,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
111,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
116,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
121,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
126,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0269,0.0000,kd5
131,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
136,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
141,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
146,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
151,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
156,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
161,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
166,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
171,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
176,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
182,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
187,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
192,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0269,0.0000,kd5
197,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
202,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
207,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
212,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
217,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0269,0.0000,kd5
222,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
227,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
232,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0171,0.0000,kd5
237,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0171,0.0000,kd5
242,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
247,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
252,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0269,0.0000,kd5
257,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0269,0.0000,kd5
262,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
267,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
272,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0171,0.0000,kd5
278,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0220,0.0000,kd5
283,20.0000,0.5000,0.0063,0.0067,-0.0073,-0.0269,0.0000,kd5
