timestamp_ms,kp,kd,q_des_rad,q_actual_rad,vel_rad_s,tau_feedback_Nm,tau_cmd_Nm,label
0,5.0000,1.0000,0.0216,0.0216,-0.0073,-0.1197,0.0000,kp5
5,5.0000,1.0000,0.0216,0.0216,-0.0073,-0.1197,0.0000,kp5
10,5.0000,1.0000,0.0216,0.0216,-0.0073,-0.1197,0.0000,kp5
15,5.0000,1.0000,0.0216,0.0216,-0.0073,-0.1197,0.0000,kp5
20,5.0000,1.0000,0.0216,0.0216,-0.0073,-0.1197,0.0000,kp5
25,5.0000,1.0000,0.0216,0.0216,-0.0073,-0.1197,0.0000,kp5
30,5.0000,1.0000,0.0216,0.0216,-0.0073,-0.1197,0.0000,kp5
35,5.0000,1.0000,0.0216,0.0216,0.0220,-0.1001,0.0000,kp5
40,5.0000,1.0000,0.0216,0.0216,0.0366,-0.0757,0.0000,kp5
45,5.0000,1.0000,0.0216,0.0216,0.0220,-0.0659,0.0000,kp5
50,5.0000,1.0000,0.0216,0.0216,0.0073,-0.0513,0.0000,kp5
55,5.0000,1.0000,0.0216,0.0216,0.0220,-0.0415,0.0000,kp5
60,5.0000,1.0000,0.0216,0.0216,0.0073,-0.0366,0.0000,kp5
65,5.0000,1.0000,0.0216,0.0216,-0.0073,-0.0317,0.0000,kp5
70,5.0000,1.0000,0.0216,0.0216,0.0073,-0.0269,0.0000,kp5
75,5.0000,1.0000,0.0216,0.0219,0.0073,-0.0220,0.0000,kp5
80,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0220,0.0000,kp5
85,5.0000,1.0000,0.0216,0.0219,0.0073,-0.0220,0.0000,kp5
90,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
96,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
101,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
106,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
111,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
116,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
121,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
126,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
131,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
136,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
141,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
146,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
151,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
156,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
161,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
166,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
171,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
176,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
182,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
187,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
192,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
197,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
202,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
207,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
212,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
217,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
222,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
227,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
232,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
237,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
242,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
247,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
252,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
257,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
262,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
267,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
273,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
278,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
283,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
288,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
293,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
298,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
303,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
308,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
313,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
318,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
323,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
328,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
333,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
338,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
343,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
348,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
353,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
358,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
364,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
369,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
374,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
379,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
384,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
389,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
394,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
399,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
404,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
409,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
414,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
419,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
424,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
429,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
434,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
439,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
444,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
450,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
455,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
460,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
465,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
470,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
475,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
480,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0171,0.0000,kp5
485,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
490,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
495,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
500,5.0000,1.0000,0.0216,0.0219,-0.0073,-0.0122,0.0000,kp5
