timestamp_ms,kp,kd,q_des_rad,q_actual_rad,vel_rad_s,tau_feedback_Nm,tau_cmd_Nm,label
0,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0855,2.0000,tau_limit
5,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0855,2.0000,tau_limit
10,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0855,2.0000,tau_limit
15,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0855,2.0000,tau_limit
20,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0855,2.0000,tau_limit
25,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0904,2.0000,tau_limit
30,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0855,2.0000,tau_limit
35,20.0000,2.0000,0.0032,0.0032,0.0073,-0.0708,2.0000,tau_limit
40,20.0000,2.0000,0.0032,0.0032,0.0073,-0.0611,2.0000,tau_limit
45,20.0000,2.0000,0.0032,0.0032,0.0073,-0.0562,2.0000,tau_limit
50,20.0000,2.0000,0.0032,0.0032,0.0073,-0.0464,2.0000,tau_limit
55,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0464,2.0000,tau_limit
60,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0366,2.0000,tau_limit
65,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0366,2.0000,tau_limit
70,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0317,2.0000,tau_limit
75,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0269,2.0000,tau_limit
80,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0269,2.0000,tau_limit
85,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0269,2.0000,tau_limit
91,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0269,2.0000,tau_limit
96,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
101,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
106,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0269,2.0000,tau_limit
111,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
116,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
121,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
126,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
131,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
136,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
141,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
146,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
151,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
156,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
161,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
166,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
171,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
177,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
182,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
187,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
192,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
197,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
202,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
207,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
212,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
217,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
222,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
227,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
232,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
237,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
242,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
247,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
252,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
257,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
263,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
268,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
273,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
278,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
283,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
288,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
293,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
298,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
303,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
308,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
313,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
318,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
323,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
328,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
333,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
338,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
343,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
348,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
354,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0171,2.0000,tau_limit
359,20.0000,2.0000,0.0032,0.0032,-0.0073,-0.0220,2.0000,tau_limit
