timestamp_ms,q_cmd_rad,q_actual_rad,q_error_rad,vel_rad_s,tau_feedback_Nm,contact_tau,contact_pos,label
0,4.36366,3.36366,1.00000,-0.00733,-0.00244,0,1,hard
5,4.36366,3.36366,1.00000,-0.00733,-0.00244,0,1,hard
10,4.36366,3.36366,1.00000,-0.00733,-0.00244,0,1,hard
15,4.36366,3.36366,1.00000,-0.00733,-0.00244,0,1,hard
20,4.36366,3.36366,1.00000,-0.00733,-0.00244,0,1,hard
25,4.36366,3.36366,1.00000,-0.00733,-0.00244,0,1,hard
30,4.36366,3.37091,0.99275,3.04029,0.81807,0,1,hard
35,4.36366,3.39265,0.97101,4.91575,0.59341,0,1,hard
40,4.36366,3.41478,0.94888,4.41758,0.30037,0,1,hard
45,4.36366,3.43614,0.92752,4.19780,0.25153,0,1,hard
50,4.36366,3.45788,0.90578,4.27106,0.22222,0,1,hard
55,4.36366,3.47963,0.88403,4.25641,0.17338,0,1,hard
60,4.36366,3.50061,0.86305,4.09524,0.15873,0,1,hard
65,4.36366,3.52121,0.84245,3.99268,0.14896,0,1,hard
70,4.36366,3.54105,0.82261,3.89011,0.15873,0,1,hard
75,4.36366,3.56050,0.80316,3.80220,0.15873,0,1,hard
80,4.36366,3.57920,0.78446,3.69963,0.17338,0,1,hard
85,4.36366,3.59751,0.76615,3.59707,0.17338,0,1,hard
91,4.36366,3.61582,0.74784,3.53846,0.15873,0,1,hard
96,4.36366,3.63298,0.73068,3.42125,0.16850,0,1,hard
101,4.36366,3.65015,0.71351,3.33334,0.15873,0,1,hard
106,4.36366,3.66732,0.69634,3.27473,0.16361,0,1,hard
111,4.36366,3.68334,0.68032,3.12821,0.16361,0,1,hard
116,4.36366,3.69898,0.66468,3.09890,0.17338,0,1,hard
121,4.36366,3.71462,0.64904,3.02564,0.17827,0,1,hard
126,4.36366,3.72950,0.63416,2.90843,0.17338,0,1,hard
131,4.36366,3.74437,0.61929,2.90843,0.16850,0,1,hard
136,4.36366,3.75849,0.60517,2.77656,0.17338,0,1,hard
141,4.36366,3.77260,0.59106,2.71795,0.16850,0,1,hard
146,4.36366,3.78633,0.57732,2.63004,0.16361,0,1,hard
151,4.36366,3.79969,0.56397,2.63004,0.17338,0,1,hard
156,4.36366,3.81227,0.55138,2.46886,0.19292,0,1,hard
161,4.36366,3.82486,0.53880,2.45422,0.17827,0,1,hard
166,4.36366,3.83707,0.52659,2.41026,0.17827,0,1,hard
171,4.36366,3.84928,0.51438,2.39561,0.17827,0,1,hard
176,4.36366,3.86072,0.50294,2.19048,0.18315,0,1,hard
182,4.36366,3.87217,0.49149,2.23443,0.19292,0,1,hard
187,4.36366,3.88323,0.48043,2.13187,0.19780,0,1,hard
