timestamp_ms,q_cmd_rad,q_actual_rad,q_error_rad,vel_rad_s,tau_feedback_Nm,contact_tau,contact_pos,label
0,1.96876,0.96876,1.00000,-0.00733,-0.00244,0,1,soft
5,1.96876,0.96876,1.00000,-0.00733,-0.00244,0,1,soft
10,1.96876,0.96876,1.00000,-0.00733,-0.00244,0,1,soft
15,1.96876,0.96876,1.00000,-0.00733,-0.00244,0,1,soft
20,1.96876,0.96876,1.00000,-0.00733,-0.00244,0,1,soft
25,1.96876,0.96876,1.00000,-0.00733,-0.00244,0,1,soft
30,1.96876,0.97601,0.99275,3.05495,0.84738,0,1,soft
35,1.96876,0.99737,0.97139,4.88645,0.59341,0,1,soft
40,1.96876,1.01987,0.94888,4.49084,0.29060,0,1,soft
45,1.96876,1.04200,0.92676,4.30037,0.19780,0,1,soft
50,1.96876,1.06413,0.90463,4.35897,0.15873,0,1,soft
55,1.96876,1.08587,0.88289,4.28572,0.10989,0,1,soft
60,1.96876,1.10761,0.86114,4.15385,0.09524,0,1,soft
65,1.96876,1.12783,0.84092,4.02198,0.09524,0,1,soft
70,1.96876,1.14805,0.82071,3.93407,0.10501,0,1,soft
75,1.96876,1.16751,0.80125,3.83150,0.10501,0,1,soft
80,1.96876,1.18696,0.78180,3.77290,0.10012,0,1,soft
85,1.96876,1.20565,0.76310,3.65568,0.09035,0,1,soft
90,1.96876,1.22358,0.74517,3.56777,0.09524,0,1,soft
95,1.96876,1.24151,0.72725,3.47985,0.10501,0,1,soft
101,1.96876,1.25906,0.70970,3.39194,0.10012,0,1,soft
106,1.96876,1.27584,0.69291,3.30403,0.09524,0,1,soft
111,1.96876,1.29225,0.67651,3.20147,0.10501,0,1,soft
116,1.96876,1.30827,0.66049,3.12821,0.10012,0,1,soft
121,1.96876,1.32391,0.64485,3.04029,0.10501,0,1,soft
126,1.96876,1.33917,0.62959,2.98169,0.10989,0,1,soft
131,1.96876,1.35405,0.61471,2.87912,0.10501,0,1,soft
136,1.96876,1.36854,0.60021,2.83517,0.10989,0,1,soft
141,1.96876,1.38266,0.58610,2.77656,0.10989,0,1,soft
146,1.96876,1.39639,0.57237,2.67400,0.11966,0,1,soft
151,1.96876,1.41012,0.55863,2.64469,0.11966,0,1,soft
156,1.96876,1.42309,0.54566,2.54213,0.12454,0,1,soft
161,1.96876,1.43568,0.53307,2.49817,0.11966,0,1,soft
